TITULAR;UNIDAD;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ACCIDENTE;CATEGORIA;FECHA_ACCIDENTE;FECHA_FALLECIMIENTO
DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA;COBRIZA;HUANCAVELICA;CHURCAMPA;SAN PEDRO DE CORIS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;22/04/2003;22/04/2003
COMPAÑIA MINERA SANTA LUISA S.A.;EL RECUERDO;ANCASH;BOLOGNESI;HUALLANCA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;28/04/2003;28/04/2003
COMPAÑIA MINERA CONDESTABLE S.A.;RAUL;LIMA;CAÑETE;MALA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;28/04/2003;28/04/2003
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;QUIRUVILCA;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;7/05/2003;7/05/2003
COMPAÑIA MINERA CARAVELI S.A.C.;SAN ANDRES;AREQUIPA;CARAVELI;HUANUHUANU;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;15/05/2003;15/05/2003
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;CAÍDAS DE PERSONAS;Gran y Mediana Minería;18/05/2003;19/05/2003
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;22/05/2003;22/05/2003
MINERA AURIFERA CALPA S.A. - EN LIQUIDACION;UNIDAD AURIFERA CALPA;AREQUIPA;CARAVELI;ATICO;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;27/05/2003;27/05/2003
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;6/06/2003;6/06/2003
NYRSTAR ANCASH S.A.;PUCARRAJO;ANCASH;HUARI;SAN MARCOS;OTROS;Gran y Mediana Minería;20/06/2003;20/06/2003
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;CAÍDAS DE PERSONAS;Gran y Mediana Minería;29/06/2003;29/06/2003
SHOUGANG HIERRO PERU S.A.A.;CPS 1;ICA;NASCA;MARCONA;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;4/07/2003;4/07/2003
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;7/07/2003;7/07/2003
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;10/07/2003;10/07/2003
SOCIEDAD MINERA CORONA S.A.;ANTICONA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;17/07/2003;18/07/2003
COMPAÑIA MINERA ANTAMINA S.A.;ANTAMINA;ANCASH;HUARI;SAN MARCOS;OTROS;Gran y Mediana Minería;2/08/2003;2/08/2003
COMPAÑIA MINERA ARCATA S.A.;SAN CRISTOBAL;AREQUIPA;CAYLLOMA;CAYLLOMA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;15/08/2003;15/08/2003
SOCIEDAD MINERA CORONA S.A.;CAROLINA Nº1;CAJAMARCA;HUALGAYOC;HUALGAYOC;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;17/08/2003;17/08/2003
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL CARGUÍO Y DESCARGA DE MINERAL/DESMONTE;Gran y Mediana Minería;19/08/2003;18/08/2003
COMPAÑIA MINERA PODEROSA S.A.;LA PODEROSA DE TRUJILLO;LA LIBERTAD;PATAZ;PATAZ;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;25/08/2003;25/08/2003
CONSORCIO MINERO HORIZONTE S.A.;PARCOY DE TRUJILLO;LA LIBERTAD;PATAZ;PARCOY;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;4/09/2003;5/09/2003
SHOUGANG HIERRO PERU S.A.A.;CPS 1;ICA;NASCA;MARCONA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;5/09/2003;5/09/2003
